"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2024 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2024 inflation-adjusted dollars)",
"0500000US01003","Baldwin County, Alabama","82501","5205",
"0500000US01015","Calhoun County, Alabama","52719","2868",
"0500000US01043","Cullman County, Alabama","62876","8817",
"0500000US01049","DeKalb County, Alabama","52763","4924",
"0500000US01051","Elmore County, Alabama","81846","8903",
"0500000US01055","Etowah County, Alabama","57959","6411",
"0500000US01069","Houston County, Alabama","57912","3787",
"0500000US01073","Jefferson County, Alabama","69363","2678",
"0500000US01077","Lauderdale County, Alabama","69113","7206",
"0500000US01081","Lee County, Alabama","70316","3810",
"0500000US01083","Limestone County, Alabama","73802","8151",
"0500000US01089","Madison County, Alabama","89086","2680",
"0500000US01095","Marshall County, Alabama","68048","8090",
"0500000US01097","Mobile County, Alabama","60379","3275",
"0500000US01101","Montgomery County, Alabama","61159","4450",
"0500000US01103","Morgan County, Alabama","68686","5912",
"0500000US01115","St. Clair County, Alabama","76937","6121",
"0500000US01117","Shelby County, Alabama","102265","5839",
"0500000US01121","Talladega County, Alabama","53873","5325",
"0500000US01125","Tuscaloosa County, Alabama","68404","5141",
"0500000US01127","Walker County, Alabama","58017","5519",
"0500000US02020","Anchorage Municipality, Alaska","105356","5596",
"0500000US02090","Fairbanks North Star Borough, Alaska","92121","9077",
"0500000US02170","Matanuska-Susitna Borough, Alaska","96643","5867",
"0500000US04001","Apache County, Arizona","35903","6099",
"0500000US04003","Cochise County, Arizona","60723","5474",
"0500000US04005","Coconino County, Arizona","75164","8757",
"0500000US04013","Maricopa County, Arizona","90967","1185",
"0500000US04015","Mohave County, Arizona","60952","4305",
"0500000US04017","Navajo County, Arizona","52393","6095",
"0500000US04019","Pima County, Arizona","72067","1874",
"0500000US04021","Pinal County, Arizona","81668","3094",
"0500000US04025","Yavapai County, Arizona","74788","4511",
"0500000US04027","Yuma County, Arizona","66844","5762",
"0500000US05007","Benton County, Arkansas","89595","5479",
"0500000US05031","Craighead County, Arkansas","55748","5003",
"0500000US05045","Faulkner County, Arkansas","71446","7804",
"0500000US05051","Garland County, Arkansas","60453","6365",
"0500000US05069","Jefferson County, Arkansas","50593","5172",
"0500000US05085","Lonoke County, Arkansas","70883","10317",
"0500000US05119","Pulaski County, Arkansas","66458","2693",
"0500000US05125","Saline County, Arkansas","78638","7473",
"0500000US05131","Sebastian County, Arkansas","62641","6394",
"0500000US05143","Washington County, Arkansas","74593","5550",
"0500000US05145","White County, Arkansas","52537","6534",
"0500000US06001","Alameda County, California","129130","3946",
"0500000US06007","Butte County, California","65221","3857",
"0500000US06013","Contra Costa County, California","127221","3324",
"0500000US06017","El Dorado County, California","109552","9134",
"0500000US06019","Fresno County, California","75585","3519",
"0500000US06023","Humboldt County, California","58124","3693",
"0500000US06025","Imperial County, California","60749","3917",
"0500000US06029","Kern County, California","71596","2131",
"0500000US06031","Kings County, California","73954","6413",
"0500000US06033","Lake County, California","51434","8349",
"0500000US06037","Los Angeles County, California","90845","839",
"0500000US06039","Madera County, California","72125","5094",
"0500000US06041","Marin County, California","147017","11094",
"0500000US06045","Mendocino County, California","69264","9849",
"0500000US06047","Merced County, California","64980","3226",
"0500000US06053","Monterey County, California","93290","4462",
"0500000US06055","Napa County, California","122754","8747",
"0500000US06057","Nevada County, California","103703","7857",
"0500000US06059","Orange County, California","115229","2197",
"0500000US06061","Placer County, California","115442","5906",
"0500000US06065","Riverside County, California","93172","2315",
"0500000US06067","Sacramento County, California","94087","2991",
"0500000US06069","San Benito County, California","114011","12320",
"0500000US06071","San Bernardino County, California","88294","2261",
"0500000US06073","San Diego County, California","109132","1813",
"0500000US06075","San Francisco County, California","139801","6180",
"0500000US06077","San Joaquin County, California","93038","3385",
"0500000US06079","San Luis Obispo County, California","100724","3675",
"0500000US06081","San Mateo County, California","160733","6418",
"0500000US06083","Santa Barbara County, California","95637","4131",
"0500000US06085","Santa Clara County, California","168154","4521",
"0500000US06087","Santa Cruz County, California","107893","6523",
"0500000US06089","Shasta County, California","71140","3177",
"0500000US06095","Solano County, California","94930","5208",
"0500000US06097","Sonoma County, California","107274","4759",
"0500000US06099","Stanislaus County, California","78673","4378",
"0500000US06101","Sutter County, California","82364","15901",
"0500000US06103","Tehama County, California","61309","11303",
"0500000US06107","Tulare County, California","69880","3509",
"0500000US06111","Ventura County, California","114238","4245",
"0500000US06113","Yolo County, California","88849","7775",
"0500000US06115","Yuba County, California","80550","8134",
"0500000US08001","Adams County, Colorado","102256","4073",
"0500000US08005","Arapahoe County, Colorado","103914","3086",
"0500000US08013","Boulder County, Colorado","102697","5115",
"0500000US08014","Broomfield County, Colorado","125055","8817",
"0500000US08031","Denver County, Colorado","92504","3897",
"0500000US08035","Douglas County, Colorado","151659","4692",
"0500000US08041","El Paso County, Colorado","91009","2718",
"0500000US08059","Jefferson County, Colorado","110231","3114",
"0500000US08069","Larimer County, Colorado","93276","4275",
"0500000US08077","Mesa County, Colorado","75231","6676",
"0500000US08101","Pueblo County, Colorado","62128","3728",
"0500000US08123","Weld County, Colorado","101563","4379",
"0500000US09110","Capitol Planning Region, Connecticut","93478","2884",
